text,emotion,dialog_idx,utterance_idx,speaker,act
"Can you use the thinning shears on top, too? My hair is really thick.",no emotion,720,5,0,directive
No problem!,happiness,720,6,1,commissive
I have never seen so many flavors of ice cream in one place!,happiness,721,0,0,inform
There certainly are a lot. Can you choose a favorite?,happiness,721,1,1,question
Vanilla with toppings is my favorite.,happiness,721,2,0,inform
Is there anything as good as a hot fudge sundae?,no emotion,721,3,1,question
No way! Do you have a flavors you don't like?,no emotion,721,4,0,question
Umm I don't like ice cream with too many different flavors in it.,no emotion,721,5,1,inform
"I agree with that, it just doesn't work for me.",no emotion,721,6,0,inform
I saw garlic ice cream on the menu once.,no emotion,721,7,1,inform
I think that would be horrible!,disgust,721,8,0,inform
I think I'll stick with a more traditional choice today!,happiness,721,9,1,inform
We'd like some local-flavored pastry. Can you recommend some?,no emotion,722,0,0,directive
How about some Zongzi?,no emotion,722,1,1,directive
What is that?,no emotion,722,2,0,question
"Well, it's a pyramid-shaped dumpling made from glutinous rice wrapped in reed leaves.",no emotion,722,3,1,inform
"That sounds appealing. OK, we will have that.",no emotion,722,4,0,inform
"Do you want some stuffed bun? It's delicious, too.",no emotion,722,5,1,question
OK. We will try some.,no emotion,722,6,0,inform
Anything else?,no emotion,722,7,1,question
"No, it's enough.",no emotion,722,8,0,inform
"OK. Wait for a moment, please. I'll be back in a moment with the dishes.",happiness,722,9,1,directive
OK. Thank you.,happiness,722,10,0,commissive
What can I do for you?,no emotion,723,0,0,question
I need a passport.,no emotion,723,1,1,directive
You can apply for one here.,no emotion,723,2,0,commissive
When can I do that?,no emotion,723,3,1,question
"If you like, you can apply right now.",no emotion,723,4,0,inform
That would be great.,happiness,723,5,1,inform
I’m going to need you to complete this application.,no emotion,723,6,0,inform
What else do I have to do?,no emotion,723,7,1,question
Then I will take your picture for your passport.,no emotion,723,8,0,inform
How long will it take?,no emotion,723,9,1,question
Your passport will be ready in a few weeks.,no emotion,723,10,0,inform
Thank you. That’s perfect timing.,happiness,723,11,1,inform
"Hello. Can I speak to Alice, please?",no emotion,724,0,0,directive
"Hold on, please.",no emotion,724,1,1,commissive
Thank you.,happiness,724,2,0,inform
"Sorry, but she's out.",no emotion,724,3,1,inform
Would you tell her Tom Gray called?,no emotion,724,4,0,directive
I'd be glad to.,happiness,724,5,1,commissive
Room service. May I come in?,no emotion,725,0,1,directive
"Come in, please.",no emotion,725,1,0,commissive
"Sir, this is the coffee and bread you want. Can I put it here?",no emotion,725,2,1,directive
Umm yes. How much is that?,no emotion,725,3,0,question
Six dollars.,no emotion,725,4,1,inform
Would you please charge them on my bill?,no emotion,725,5,0,directive
Certainly. Please sign your name here.,no emotion,725,6,1,directive
"Hello, Helen.",no emotion,726,0,0,inform
"Hi, Steven.",no emotion,726,1,1,inform
How are you today?,no emotion,726,2,0,question
"I’m very well, Thank you. And you?",happiness,726,3,1,question
"I’m fine, thanks. Umm how is Tony?",happiness,726,4,0,question
"He’s fine, Thanks. How’s Emma?",happiness,726,5,1,question
"She’s very well, too, Helen. Goodbye, Helen. Nice to see you.",happiness,726,6,0,inform
"Nice to see you, too, Steven. Goodbye.",happiness,726,7,1,inform
"Hello, thirty five..",no emotion,727,0,1,inform
Is this Ann?,no emotion,727,1,0,question
Speaking.,no emotion,727,2,1,directive
"Ann, this is Sam. Look, Ann. I wanna see you again. How about a drink tonight?",no emotion,727,3,0,directive
Umm I am sorry. I am very tired. I'm going to bed early.,sadness,727,4,1,commissive
What about tomorrow evening?,no emotion,727,5,0,directive
"No, I’m sorry. I'm going to meet some friends tomorrow evening. And I'm in a hurry now.",sadness,727,6,1,commissive
But Ann..,no emotion,727,7,0,inform
Good evening. Welcome to our program.,happiness,728,0,0,inform
"Thank you. Good evening, Mr. Dean.",happiness,728,1,1,inform
"Would you tell us your name, please?",no emotion,728,2,0,question
I'm Helen Baker.,no emotion,728,3,1,inform
"Glad to meet you, Ms. Baker.",happiness,728,4,0,inform
"Glad to meet you, too.",happiness,728,5,1,inform
"Where are you from, Ms. Baker?",no emotion,728,6,0,question
I'm from New Zealand.,no emotion,728,7,1,inform
What do you do for a living?,no emotion,728,8,0,question
I'm a teacher.,no emotion,728,9,1,inform
"Thank you for coming, Ms. baker.",happiness,728,10,0,inform
Excuse me. Umm when is breakfast time?,no emotion,729,0,0,question
From six to nine.,no emotion,729,1,1,inform
"Well, I would like to order breakfast for tomorrow morning.",no emotion,729,2,0,directive
"Certainly, Sir. What would you like to have?",no emotion,729,3,1,question
"Please give me two fried eggs, two orders of toast and a cup of coffee.",no emotion,729,4,0,inform
Fine. Have a nice stay here.,no emotion,729,5,1,commissive
"Pam, where's the closest ATM?",no emotion,730,0,0,question
It's not that far. Do you see that Yellow building over there?,no emotion,730,1,1,question
The big one or the small one?,no emotion,730,2,0,question
The big one.,no emotion,730,3,1,inform
"It's right next to it, on the right.",no emotion,730,5,1,inform
Do you know if there's a convenience store around here?,no emotion,730,6,0,question
"I don't think there's one around here. The closest one is on third street, but that's probably closed now.",no emotion,730,7,1,inform
I really need to get some things before I leave.,no emotion,730,8,0,inform
"Well, you could go down to twenty second street. There are lots of stores down there that are open twenty four hours a day.",no emotion,730,9,1,inform
Can I take the subway to get there?,no emotion,730,10,0,directive
"Yes, but that'll probably take about half an hour. You should just take a cab.",no emotion,730,11,1,commissive
Won't that be expensive?,no emotion,730,12,0,question
"Good morning, sir. May I see your passport?",no emotion,731,0,1,directive
"Yes, umm of course. Here it is.",no emotion,731,1,0,commissive
Thank you. Are all these yours?,no emotion,731,2,1,question
"No, some of them are my friend's. Do you want her passport, too?",no emotion,731,3,0,question
"Yes, please. Do you have any carry-on items?",no emotion,731,4,1,question
"Do you want me to put it on the belt, too?",no emotion,731,5,0,question
"Yes, please. Would you please open this big suitcase?",no emotion,731,6,1,directive
OK. Just a moment. It's just some clothes and toiletries.,no emotion,731,7,0,commissive
OK. Do you have anything to declare?,no emotion,731,8,1,question
I think there is nothing.,no emotion,731,9,0,inform
"Any fresh food, live plants, or animals?",no emotion,731,10,1,question
"Oh, no. None of that.",no emotion,731,11,0,inform
Thank you. You may lock up your suitcase. Here are your passports.,no emotion,731,12,1,inform
Thanks a lot.,no emotion,731,13,0,inform
Excuse me! I don't have time to waste. I've been here almost one full hour!,anger,732,0,1,inform
"Sorry, madam. You have to wait your turn. The parking lot is full.",no emotion,732,1,0,inform
Unbelievable! Parking in this city is such a nightmare!,surprise,732,2,1,inform
"Umm, madam, patience is a virtue.",no emotion,732,3,0,inform
"Oh, gosh! I have to go to the restroom so bad! I can't bear it anymore!",anger,732,4,1,inform
I'm sure a spot will open up soon.,no emotion,732,5,0,inform
"Oh, look! There's a spot open next to the public restroom! Can I take it?",happiness,732,6,1,question
We are doing 'Secret Santa' at the office again this year.,no emotion,733,0,0,inform
"Uh, whose name did you pick?",no emotion,733,1,1,question
I got Jacob. Any ideas what to get him?,happiness,733,2,0,question
Booze!,happiness,733,3,1,inform
"Yeah, you’re right. Can’t go wrong with that.",happiness,733,4,0,inform
"Congratulations, Vivian. You won the grand prize, again.",happiness,734,0,0,inform
Isn't it just great? I just knew I'd win!,happiness,734,1,1,question
You did? How? Did you wear red underwear again this year?,surprise,734,2,0,question
Not only that!,no emotion,734,3,1,inform
Tell me! Tell me! What's your secret?,no emotion,734,4,0,question
"OK, OK. I'll whisper it to you, but you have to promise not to tell anyone!",no emotion,734,5,1,inform
What? You did that?,surprise,734,6,0,question
"I’d like to make a collect call to Beijing China, please.",no emotion,735,0,0,directive
"What’s the number you are calling, please?",no emotion,735,1,1,question
The number I am calling is eight six one zero four zero one six nine nine eight eight.,no emotion,735,2,0,inform
Umm what’s the name of the person you are calling?,no emotion,735,3,1,question
"Marty Smith. M-A-R-T-Y, S-M-I-T-H",no emotion,735,4,0,inform
"Thanks. What’s your name and phone number, please?",happiness,735,5,1,directive
My name is Jim Smith. My phone number is six one zero nine three four nine nine zero one.,no emotion,735,6,0,commissive
"Thank you. I’ll put the call through for you. Hold on the line, please.",happiness,735,7,1,directive
Good afternoon. I believe that this house is for sale.,no emotion,736,0,0,question
That's right.,no emotion,736,1,1,inform
May I have a look at it please?,no emotion,736,2,0,directive
"Yes, of course. Come in.",no emotion,736,3,1,commissive
Umm how long have you lived here?,no emotion,736,4,0,question
I have lived here for twenty years.,no emotion,736,5,1,inform
Twenty years! That's a long time.,surprise,736,6,0,inform
"Yes, I have been here since nineteen seventy six.",no emotion,736,7,1,inform
Then why do you want to sell it?,no emotion,736,8,0,question
Because I have just retired. I want to buy a small house in the country.,no emotion,736,9,1,inform
How much does this house cost?,no emotion,736,10,0,question
Sixty eight fifty pound.,no emotion,736,11,1,inform
That's a lot of money!,surprise,736,12,0,inform
It's worth every penny of it.,no emotion,736,13,1,inform
"Well, I like the house, but I can't decide yet. My wife must see it first.",no emotion,736,14,0,inform
Women always have the last word.,no emotion,736,15,1,inform
How's your work?,no emotion,737,0,1,question
"Good, thanks. How about you?",no emotion,737,1,0,question
Not bad. But we have lost a few of staff lately.,no emotion,737,2,1,inform
Because of the low salaries.,no emotion,737,4,1,inform
But your company is huge. Can't they afford to pay the staff decent wages?,no emotion,737,5,0,question
I don't know why.,no emotion,737,6,1,inform
Why don't you give them a suggestion?,no emotion,737,7,0,directive
Maybe I can have a try. But I'm on vacation now.,no emotion,737,8,1,commissive
Hello.,no emotion,738,0,0,inform
Hello. Is there anything I can do for you?,no emotion,738,1,1,question
"Yes, please. I'd like to open a savings account. Would you please give me some advice?",no emotion,738,2,0,directive
"Certainly, I'll be very happy to help you. Usually we offer current or fixed accounts for individuals.",no emotion,738,3,1,commissive
What's the difference between the two?,no emotion,738,4,0,question
"If you open a fixed account, the interest rate is higher.",no emotion,738,5,1,inform
Then how about the current account?,no emotion,738,6,0,question
Umm you may withdraw the money at any time. You just need to present your deposit book.,no emotion,738,7,1,inform
Thank you for your help. I think I'll open a current account.,no emotion,738,8,0,directive
OK. Do you have your ID card on you?,no emotion,738,9,1,question
Good. Everything is done. Here is your deposit book and ID card.,no emotion,738,11,1,commissive
Thank you very much.,no emotion,738,12,0,inform
It's my pleasure.,no emotion,738,13,1,inform
Why are there still so many people overweight despite the current fitness craze?,no emotion,739,0,1,question
"Well, there are certain factors that effect people's size and weight.",no emotion,739,1,0,inform
What are they?,no emotion,739,2,1,question
Umm one study said that low-income groups have a higher percentage of over-weight people than higher income families.,no emotion,739,3,0,inform
"The survey said that the low, income groups eat more junk food on a daily basis.",no emotion,739,5,0,inform
That makes sense. Probably less time to make dinner and the junk food is cheaper.,no emotion,739,6,1,inform
And junk food contains lots of fat and oil. There is one final reason why so many people are fat.,no emotion,739,7,0,inform
What's that?,no emotion,739,8,1,question
Nobody exercises any more-not even kids! The average American home has the TV on for six hours a day!,no emotion,739,9,0,inform
"Wow! No wonder people are so fat. Say, Carl, looks like you could be doing a bit more exercising.",surprise,739,10,1,inform
"Yeah, I guess so.",no emotion,739,11,0,inform
You should consider eating healthier food and getting some more exercise.,no emotion,739,12,1,directive
"Hey, I started a diet and lost ten pounds.",no emotion,739,13,0,commissive
So what happened?,surprise,739,14,1,question
"Well, I quit and gained it back plus five pounds.",no emotion,739,15,0,inform
You should have kept trying.,no emotion,739,16,1,inform
"Umm many people play sports in China, don't they?",no emotion,740,0,0,inform
Yes. Table tennis is probably the most popular.,no emotion,740,1,1,inform
I expect all Chinese can play table tennis.,no emotion,740,2,0,inform
Most anyway.,no emotion,740,3,1,inform
Do you like playing table tennis?,no emotion,740,4,0,question
"Yes, I like. But I can't play it well.",no emotion,740,5,1,inform
Are indoor sports popular?,no emotion,740,6,0,question
Basketball and swimming are very popular.,no emotion,740,7,1,inform
"Really? I like playing basketball, too.",surprise,740,8,0,inform
We can play together if you are free.,happiness,740,9,1,directive
That's great.,happiness,740,10,0,commissive
"Waiter, a menu please!",no emotion,741,0,1,directive
Here you are.,no emotion,741,1,0,commissive
Thank you. Could you tell me the specials today?,happiness,741,2,1,directive
"The special today is fried chicken, and beef is good too.",no emotion,741,3,0,commissive
"OK, let's think about it for a minute.",no emotion,741,4,1,directive
"Well, I'll be back in a minute.",no emotion,741,5,0,commissive
"What does your sister look like, Mike?",no emotion,742,0,1,question
"Well, she’s tall and pretty.",no emotion,742,1,0,inform
Is she like you?,no emotion,742,2,1,question
"Umm, I suppose so. We’re both friendly and easy-going.",no emotion,742,3,0,inform
Is she as clever as you?,no emotion,742,4,1,question
"No, she’s not as clever as me.",no emotion,742,5,0,inform
Big head!,no emotion,742,6,1,inform
Can I help you?,no emotion,743,0,0,question
"Yes, my brakes are not working well.",no emotion,743,1,1,inform
What's wrong with them?,no emotion,743,2,0,question
I hear a noise and feel vibrations when step on the brake.,no emotion,743,3,1,inform
The front brake?,no emotion,743,4,0,question
I think so.,no emotion,743,5,1,inform
What kind of car is it?,no emotion,743,6,0,question
Toyota Corolla two thousand two.,no emotion,743,7,1,inform
"Write down your name and address, give me the key, and I will check it out.",no emotion,743,8,0,directive
Umm do you charge for checking it out?,no emotion,743,9,1,question
How long is it going to take?,no emotion,743,11,1,question
About half an hour.,no emotion,743,12,0,inform
I'll wait.,no emotion,743,13,1,commissive
"Oh, Mary, come in, please. I'm so happy to see you.",happiness,744,0,0,inform
"Happy birthday, George. Many happy returns of the day. Here's a present for you.",happiness,744,1,1,inform
"Oh, thank you, Mary. You're so nice.",happiness,744,2,0,inform
"I hope you like it. Oh, have the other guys arrived?",happiness,744,3,1,question
They're all waiting for you. Let's join them. I'm going to cut the cake soon.,happiness,744,4,0,directive
Let's go.,happiness,744,5,1,commissive
May I help you?,no emotion,745,0,1,question
"Yes, umm, I'd like to see that pen.",no emotion,745,1,0,directive
"Oh, that's a really good buy. Here. There's only one left.",no emotion,745,2,1,commissive
Can I get it duty-free?,no emotion,745,3,0,directive
"Sure, if you show me your passport.",no emotion,745,4,1,commissive
"It's not the latest model, is it?",no emotion,745,5,0,question
"No, it isn't. That's why it's such a bargain.",no emotion,745,6,1,inform
"How are you doing, Christopher?",no emotion,746,0,1,question
"To be honest, I'm really fed up with work at the moment. I need a break!",no emotion,746,1,0,inform
Umm are you doing anything this weekend?,no emotion,746,2,1,question
I have to work on Saturday all day! I really hate my job!,anger,746,3,0,inform
Are you available on Sunday?,no emotion,746,4,1,question
"Yes, that's my only day off until Thursday.",happiness,746,5,0,inform
"OK, well, my friends and I are planning on going to the beach on Sunday. Do you want to come with us?",happiness,746,6,1,directive
That'd be fantastic! Which beach are you going to?,happiness,746,7,0,commissive
It's a quiet beach just about an hour outside of the city.,happiness,746,8,1,inform
What should I bring with me?,happiness,746,9,0,question
"We've got plenty of inflatables, but if you want to sit on a chair, you'll have to bring your own sunlounger.",happiness,746,10,1,inform
I can just use my beach towel. I love lazing around in the sun.,happiness,746,11,0,inform
Do you like surfing?,happiness,746,12,1,question
I've actually never tried. Do you have a surfboard?,happiness,746,13,0,question
We've got a few. I can teach you how to surf on Sunday. It'll be fun!,happiness,746,14,1,directive
I can't wait! It sounds like we're going to have a great time. How much money should I bring?,happiness,746,15,0,commissive
"You'll just need roughly ten dollars for food and gas money. My friend is driving, so we usually all chip in a few dollars for gas money.",happiness,746,16,1,inform
"OK, where and when should I meet you?",happiness,746,17,0,question
We'll pick you up at your place at noon. Be there or be square!,happiness,746,18,1,inform
"Excuse me, are these deck chairs free?",no emotion,747,0,0,question
"Yes, of course.",no emotion,747,1,1,inform
Umm could I have a fresh towel?,no emotion,747,2,0,directive
Sure. Here you are.,no emotion,747,3,1,commissive
"It's very kind of you. By the way, when does the pool close?",no emotion,747,4,0,question
One a.m.,no emotion,747,5,1,inform
What can I get you?,no emotion,748,0,1,question
A cheeseburger and an order of french fries would be great.,no emotion,748,1,0,inform
Would you like anything to drink?,no emotion,748,2,1,question
"Umm, I feel like having a Coke.",no emotion,748,3,0,inform
That's a good idea. I think I'll join you.,happiness,748,4,1,inform
"Give me some glasses please, Jane.",no emotion,749,0,0,directive
Which glasses? these glasses?,no emotion,749,1,1,question
"No, not those. Umm the ones on the shelf.",no emotion,749,2,0,inform
These?,no emotion,749,3,1,question
"Yes, please.",no emotion,749,4,0,inform
Here you are.,no emotion,749,5,1,directive
Thanks.,happiness,749,6,0,commissive
"Can I have my check, please.",no emotion,750,0,0,directive
Here it is. Three fifty Yuan all together.,no emotion,750,1,1,commissive
My son adores my new hairstyle so I suppose it is worth it.,happiness,750,2,0,inform
Hearing you say that is a big reward for us. And here is the receipt.,happiness,750,3,1,inform
Thank you.,happiness,750,4,0,inform
Wait! Congratulations! You are the lucky customer of our anniversary celebration.,happiness,750,5,1,inform
"Wow, it's surprising. So what do I get?",surprise,750,6,0,question
You can have a free facial and then make up free for you. Do you want it now?,no emotion,750,7,1,question
Probably not. Doing that will probably take another three hours which I can't afford now.,sadness,750,8,0,inform
Here is our number. Call us when you are ready to come.,no emotion,750,9,1,directive
You mean I should make an appointment ahead of time?,no emotion,750,10,0,question
Got it. Bye for now.,no emotion,750,12,0,commissive
Do you have any hobbies?,no emotion,751,0,0,question
"Yes, I like collecting things.",happiness,751,1,1,inform
"Oh, that’s interesting, and umm, but what kind of things?",happiness,751,2,0,question
"Several things, for example, Various coins, stamps, stones and so on.",no emotion,751,3,1,inform
Stones? I know many people collecting coins and stamps but stones?,surprise,751,4,0,question
"Yes, stones.",no emotion,751,5,1,inform
"Well, I can’t just image it.",no emotion,751,6,0,inform
Hi. I need a wake-up call tomorrow.,no emotion,752,0,1,directive
What time would you like your wake-up call?,no emotion,752,1,0,question
"I need two calls, one at seven and another at seven fifteen.",no emotion,752,2,1,directive
"That is no problem at all, of course. You'll get a call at seven o'colock and another at seven fifteen.",no emotion,752,3,0,commissive
"Then again, I think seven fifteen is too early. Change seven fifteen to seven thirty, please.",no emotion,752,4,1,directive
"So, that'll be a call at seven and another at seven thirty. Do you have any other requests?",no emotion,752,5,0,directive
"Not just now, but if I do think of something later, I'll give you a ring.",no emotion,752,6,1,directive
"OK, ma'am. Sleep well.",no emotion,752,7,0,commissive
"Umm I want to change rooms immediately, plus a refund for tonight.",no emotion,753,0,0,directive
"I'm sorry, sir. Exactly what is the problem?",no emotion,753,1,1,question
I'm knee-deep in cockroaches!,no emotion,753,2,0,inform
"I'm so sorry, sir. We'll give you a new room immediately, and give you a refund also.",no emotion,753,3,1,directive
Thank you. I'm glad that this hotel strives to keep its reputation intact.,no emotion,753,4,0,directive
"Sir, we always try to please our guests.",no emotion,753,5,1,commissive
How may I help you?,no emotion,754,0,0,question
I need to check these books out.,no emotion,754,1,1,directive
Do you have your library card?,no emotion,754,2,0,directive
Here it is.,no emotion,754,3,1,commissive
It appears that you have late fees.,no emotion,754,4,0,inform
Really?,surprise,754,5,1,question
"Yes, really.",no emotion,754,6,0,inform
How much do I owe?,no emotion,754,7,1,question
You owe twenty four fifty dollars in late fees.,no emotion,754,8,0,directive
I don’t have that much today.,no emotion,754,9,1,commissive
"I’m sorry, but until you pay it, you won’t be able to check out any more books.",no emotion,754,10,0,commissive
I’ll pay it as soon as possible.,no emotion,754,11,1,inform
"Hey, that’s a very nice hairdo you’re wearing!",happiness,755,0,1,inform
Oh you’re exaggerating. I’m never really good at making hairdo.,happiness,755,1,0,inform
"Uh, you did it yourself? Wow, you are good!",surprise,755,2,1,inform
"Thanks for saying so, but my wife thinks otherwise.",happiness,755,3,0,inform
She’s just got no idea of how good you are.,happiness,755,4,1,inform
Look what you've done!,anger,756,0,0,inform
"Umm I'm very sorry, sir. I'll bring you a cloth immediately.",no emotion,756,1,1,inform
"Yes, and hurry up!",anger,756,2,0,inform
I'd like to apologize for my carelessness. May I clean it up for you?,no emotion,756,3,1,directive
"No, I'll do it myself.",no emotion,756,4,0,commissive
"Here is my card, sir. Could you send me the cleaning bill and I will refund the cost to you?",no emotion,756,5,1,directive
"I should think so, too!",no emotion,756,6,0,commissive
I'm very sorry to have caused you this trouble.,sadness,756,7,1,inform
"Yes, and please be more careful in the future!",anger,756,8,0,inform
"I will, sir. I'm really very sorry.",sadness,756,9,1,inform
That's OK.,happiness,756,10,0,inform
May I help you?,no emotion,757,0,0,question
My daughter. She is missing. I don’t know where she is.,no emotion,757,1,1,inform
What dose she look like?,no emotion,757,2,0,question
She has blond hair and blue eyes.,no emotion,757,3,1,inform
What was she wearing?,no emotion,757,4,0,question
She has a yellow dress on and red sneakers.,no emotion,757,5,1,inform
When did you last see her?,no emotion,757,6,0,question
I just saw her down the street. I don’t know where she is. I don’t know...,no emotion,757,7,1,inform
How long has it been?,no emotion,757,8,0,question
"Oh, it’s been uh... fifteen minutes.",no emotion,757,9,1,inform
"Ashley, what a great dinner party!",happiness,758,0,0,inform
"Thank you, Joe. What would you like to drink with your meal? I can offer you wine, mango juice, or water.",happiness,758,1,1,inform
Just water would be fine.,happiness,758,2,0,inform
Excellent choice. Can I dish you up some chicken?,happiness,758,3,1,directive
"Yes,  Umm…. the chicken looks wonderful!",happiness,758,4,0,commissive
How about some salad to go with your chicken?,happiness,758,5,1,directive
"Sure, I love salad!",happiness,758,6,0,commissive
Would you like to have rice with your chicken?,happiness,758,7,1,directive
"Yes, I think that rice will go perfectly with my chicken!",happiness,758,8,0,commissive
"Good! Julie, if you could pass this plate down to Joe, I think we are all set.",happiness,758,9,1,inform
"Next, please. Where to, sir?",no emotion,759,0,1,question
"A one-way ticket to Chicago, please.",no emotion,759,1,0,inform
"How many did you say, sir?",no emotion,759,2,1,question
"One adult, please.",no emotion,759,3,0,inform
"Umm, that will be six dollars. Out of ten, seven, eight, nine, ten. Thank you.",happiness,759,4,1,inform
"Good evening, sir. Welcome to our restaurant.",no emotion,760,0,1,inform
Thank you.,happiness,760,1,0,inform
Do you have a reservation?,no emotion,760,2,1,question
"Yes, I do.",no emotion,760,3,0,inform
"May I have your name, please?",no emotion,760,4,1,directive
"Yes, it's Mr. Brown.",no emotion,760,5,0,commissive
"Mr. Brown. We were expecting you. This way, please. Will this table be fine?",no emotion,760,6,1,question
"Oh, this is just fine.",happiness,760,7,0,inform
Please take a seat.,no emotion,760,8,1,directive
Thank you.,happiness,760,9,0,commissive
Here is the menu.,no emotion,760,10,1,inform
Oh that’s a lovely necklace.,happiness,761,0,0,inform
Thank you. My husband gave it to me.,happiness,761,1,1,inform
Oh I didn’t know you were married.,happiness,761,2,0,inform
Yes I am. I got married five years ago.,happiness,761,3,1,inform
Oh I see. That’s nice. Did you meet your husband at work?,no emotion,761,4,0,question
"No, we met at university.",no emotion,761,5,1,inform
What's taking you so long?,no emotion,762,0,1,question
Don't worry. I'm almost finished.,no emotion,762,1,0,inform
I need you to hurry up.,no emotion,762,2,1,inform
All right. I'm finished.,no emotion,762,3,0,inform
I think there's more you need to do.,disgust,762,4,1,inform
What do you mean by that?,no emotion,762,5,0,question
My hair looks awful.,disgust,762,6,1,inform
What don't you like about it?,no emotion,762,7,0,question
I just don't like my hair.,disgust,762,8,1,inform
I'm sorry that you don't like it.,no emotion,762,9,0,inform
I won't be paying you for this.,anger,762,10,1,inform
I'm sure we can work something out.,no emotion,762,11,0,inform
Do you have any apartment to rent?,no emotion,763,0,0,question
Yes. Right now I have a studio.,no emotion,763,1,1,inform
Where is it?,no emotion,763,2,0,question
"In the downtown, near the square.",no emotion,763,3,1,inform
Umm is it furnished?,no emotion,763,4,0,question
"Yes, and the rent includes utilities.",no emotion,763,5,1,inform
That's good. When can I go to see the house?,happiness,763,6,0,question
What about next saturday?,no emotion,763,7,1,directive
"Excuse me. Uh, where do I register?",no emotion,764,0,0,question
"Oh, over there in Pacific Pavilion.",no emotion,764,1,1,directive
"Is that the large, white building?",no emotion,764,2,0,question
"Yeah, that's it.",no emotion,764,3,1,inform
Thanks.,happiness,764,4,0,inform
How are your wedding plans going?,no emotion,765,0,0,question
Very well. We started organizing everything early to avoid a last minute rush to get things done.,happiness,765,1,1,inform
When will your wedding take place?,no emotion,765,2,0,question
At ten o'clock on the morning of next Sunday. We have invited all our relatives to the wedding.,no emotion,765,3,1,inform
It will be a large church one. Is your wedding dress ready?,no emotion,765,4,0,question
"Yes, its design is very elaborate and the designer took many weeks to make it.",happiness,765,5,1,inform
You will be very beautiful on your wedding day.,happiness,765,6,0,inform
Thank you!,happiness,765,7,1,inform
Which hotel will the reception be held at?,happiness,765,8,0,question
The Palace Hotel.,happiness,765,9,1,inform
"It's excellent. A friend of mine had her wedding reception there and said it was perfect, though very expensive.",happiness,765,10,0,inform
"It will be expensive, but we think it will be worth.",happiness,765,11,1,inform
I think you made the right decision.,happiness,765,12,0,inform
"Can I help you, Ma'am?",no emotion,766,0,0,question
I need a phone card for this new cell phone.,no emotion,766,1,1,directive
Cool phone. What kind of phone card do you want?,happiness,766,2,0,question
It's for my daughter who is elementary school student.,no emotion,766,3,1,inform
Then the M-Zone will be suitable.,no emotion,766,4,0,commissive
What's special with the service?,no emotion,766,5,1,question
You know students use tested message service. And they provide favorable service for that.,no emotion,766,6,0,inform
That's nice. And I need a pre-paid phone card.,happiness,766,7,1,directive
"Oh, there is a sales promotion for it now.",no emotion,766,8,0,commissive
"Oh, good. Then what is it?",happiness,766,9,1,question
"If you buy a pre-paid phone card worth hundred yuans today, you will get fifty yuans for free.",no emotion,766,10,0,inform
May I have two of them?,no emotion,766,11,1,directive
Sure. As many as you want.,happiness,766,12,0,commissive
"OK, then a third one for my husband too.",no emotion,766,13,1,directive
Hi. Can you give me a wake-up call tomorrow?,no emotion,767,0,1,directive
Certainly. What time would you like us to call you?,no emotion,767,1,0,question
"I need two wake-up calls, if you don't mind, one at seven and the other at seven fifteen.",no emotion,767,2,1,directive
"Not a problem. We'll call you tomorrow morning at seven, and again at seven fifteen.",no emotion,767,3,0,commissive
"On second thought, you'd better make that second call at seven thirty instead of seven fifteen.",no emotion,767,4,1,directive
"Said, and done. Will there be anything else?",no emotion,767,5,0,question
"No, that gets it for now, thank you.",no emotion,767,6,1,inform
"Well, give us a call if there's anything more we can help you with.",no emotion,767,7,0,directive
"May I take your order now, sir?",no emotion,768,0,1,directive
"Yes, please. I'd like to start with a chef’s salad.",no emotion,768,1,0,directive
Chef’s salad for starter. And what would you like to have for the main course?,no emotion,768,2,1,question
I'll have steak.,no emotion,768,3,0,inform
How would you like your steak done?,no emotion,768,4,1,question
Umm medium.,no emotion,768,5,0,inform
And what would you like to go with your steak?,no emotion,768,6,1,question
Peas and carrots.,no emotion,768,7,0,inform
Potatoes?,no emotion,768,8,1,question
Boiled.,no emotion,768,9,0,inform
Thank you.,happiness,768,10,1,inform
Have you finished?,no emotion,769,0,1,question
"Yes, but dinner was excellent.",happiness,769,1,0,inform
Would you like some of coffee?,no emotion,769,2,1,question
"No, thank you. Check please.",happiness,769,3,0,directive
"Yes sir, one moment please. here is the check.",no emotion,769,4,1,commissive
"Here is the two dollars, will you bring me the receipt?",no emotion,769,5,0,directive
Here is the change.,no emotion,769,6,1,commissive
Please keep the change.,no emotion,769,7,0,directive
Thank you very much sir.,happiness,769,8,1,commissive
"Can I take your order now, Madam?",no emotion,770,0,0,directive
"Yes, what would you recommend?",no emotion,770,1,1,question
"I'm happy to recommend the fish, It tastes delicious. Our chef is from the coast, and love seafood.",no emotion,770,2,0,directive
"It does sound wonderful, maybe I'll try it.",happiness,770,3,1,commissive
"Is there anything else? Maybe I can interest you in one of fine appetizers, such as the escargot.",no emotion,770,4,0,directive
"Not today, thanks. But I'd like to know any of the vegetarian dishes.",no emotion,770,5,1,commissive
"Yes, here's the menu. What would you think of your order.",no emotion,770,6,0,question
"Maybe I don't want the fish, I think I had the greenbean dish instead.",no emotion,770,7,1,inform
What kind of soup would you like?,no emotion,770,8,0,question
I'd like the egg drop soup.,no emotion,770,9,1,inform
"OK, is that all?",no emotion,770,10,0,question
Umm what would you like anything to drink or you wait?,no emotion,770,12,0,question
